J,J_index,j_max,label,max_null_power,mu,mu_index,n_mu,num_null_constraints,rho,rho_cutoff,rho_max,rho_over_max,setting_label
8.0,4,1000,c20_min,8,5.455252742359489,84,300,36,0.0050057018007071625,1.0000504915154555e-08,1.0000504915154556,0.005005449067998184,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,5.336786680267397,85,300,36,1.106903507058584e-06,1.0000504915154555e-08,1.0000504915154556,1.1068476206448393e-06,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
8.0,4,1000,c20_min,8,5.336786680267397,85,300,36,0.00012808449843559346,1.0000504915154555e-08,1.0000504915154556,0.00012807803158168234,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,5.222421292686486,86,300,36,5.5161414560463285e-06,1.0000504915154555e-08,1.0000504915154556,5.5158629517668485e-06,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
8.0,4,1000,c20_min,8,5.222421292686486,86,300,36,4.820908322734007e-07,1.0000504915154555e-08,1.0000504915154556,4.82066492005669e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,5.111970414707858,87,300,36,0.008180142413728737,1.0000504915154555e-08,1.0000504915154556,0.008179729406794971,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
6.0,3,1000,c20_min,8,5.111970414707858,87,300,36,1.2782973712069387e-08,1.0000504915154555e-08,1.0000504915154556,1.2782328312941815e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
8.0,4,1000,c20_min,8,5.111970414707858,87,300,36,1.9455238240027579e-07,1.0000504915154555e-08,1.0000504915154556,1.9454255965161838e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,5.005258340793484,88,300,36,0.006633710236889809,1.0000504915154555e-08,1.0000504915154556,0.006633375307717937,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
6.0,3,1000,c20_min,8,5.005258340793484,88,300,36,1.7815766356524867e-08,1.0000504915154555e-08,1.0000504915154556,1.7814866856899622e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
8.0,4,1000,c20_min,8,5.005258340793484,88,300,36,4.770365881167958e-08,1.0000504915154555e-08,1.0000504915154556,4.770125030326264e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,4.9021191275581675,89,300,36,1.1221047315391407e-05,1.0000504915154555e-08,1.0000504915154556,1.1220480776312871e-05,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
6.0,3,1000,c20_min,8,4.9021191275581675,89,300,36,2.6749728242436633e-08,1.0000504915154555e-08,1.0000504915154556,2.674837767631178e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
8.0,4,1000,c20_min,8,4.9021191275581675,89,300,36,2.109968410358669e-08,1.0000504915154555e-08,1.0000504915154556,2.109861880234934e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,4.802395950179401,90,300,36,4.2241484982175395e-06,1.0000504915154555e-08,1.0000504915154556,4.2239352253268265e-06,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
6.0,3,1000,c20_min,8,4.802395950179401,90,300,36,4.448154323706731e-08,1.0000504915154555e-08,1.0000504915154556,4.447929740993468e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
8.0,4,1000,c20_min,8,4.802395950179401,90,300,36,1.0338031569790672e-08,1.0000504915154555e-08,1.0000504915154556,1.0337509613264262e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,4.705940507772266,91,300,36,2.1469801222160477e-06,1.0000504915154555e-08,1.0000504915154556,2.146871723409244e-06,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
6.0,3,1000,c20_min,8,4.705940507772266,91,300,36,8.603330018781398e-08,1.0000504915154555e-08,1.0000504915154556,8.60289564554295e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,4.612612473517714,92,300,36,1.1778186996854764e-06,1.0000504915154555e-08,1.0000504915154556,1.1777592328369686e-06,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
6.0,3,1000,c20_min,8,4.612612473517714,92,300,36,2.103634538368829e-07,1.0000504915154555e-08,1.0000504915154556,2.1035283280357426e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,4.522278985735746,93,300,36,6.724280623335001e-07,1.0000504915154555e-08,1.0000504915154556,6.72394112135795e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
6.0,3,1000,c20_min,8,4.522278985735746,93,300,36,6.459517749135653e-07,1.0000504915154555e-08,1.0000504915154556,6.459191614762405e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,4.43481417645586,94,300,36,4.063134521033111e-07,1.0000504915154555e-08,1.0000504915154556,4.0629293775716485e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
6.0,3,1000,c20_min,8,4.43481417645586,94,300,36,0.004337309654784078,1.0000504915154555e-08,1.0000504915154556,0.004337090668503557,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,4.350098734360192,95,300,36,2.5118478367901527e-07,1.0000504915154555e-08,1.0000504915154556,2.511721016189644e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
6.0,3,1000,c20_min,8,4.350098734360192,95,300,36,0.009649879488794451,1.0000504915154555e-08,1.0000504915154556,0.009649392276355194,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,4.2680194992647875,96,300,36,1.597293112478636e-07,1.0000504915154555e-08,1.0000504915154556,1.5972124668006827e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
6.0,3,1000,c20_min,8,4.2680194992647875,96,300,36,2.722058321663767e-07,1.0000504915154555e-08,1.0000504915154556,2.7219208877531944e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,4.188469085564655,97,300,36,1.0394069585301762e-07,1.0000504915154555e-08,1.0000504915154556,1.0393544799473881e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
6.0,3,1000,c20_min,8,4.188469085564655,97,300,36,6.906579589613316e-08,1.0000504915154555e-08,1.0000504915154556,6.90623088354992e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
